FREQ;GEO;UNIT;OBJECTIV\TIME_PERIOD,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;AT;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.2 ,88.6 ,101.1 ,510.9 ,525.9 ,456.5 ,56.4 ,527.6 ,526.4 ,526 
A;BE;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,144.8 ,156.4 ,51.1 ,25.8 ,57.4 ,70.8 ,25.2 ,33.4 ,40.9 
A;BG;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36.2 ,42.9 
A;CY;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;CZ;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.1 ,0 ,14.1 ,18.1 ,19.5 ,26.3 ,27.4 ,39.5 ,35.5 ,125.6 
A;DE;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.7 ,196.4 ,196 ,2922.5 ,3553.2 ,4083.3 ,4245.4 ,4098.9 ,4288.1 ,4362.6 
A;DK;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.6 ,4.7 ,13 ,78 ,80.5 ,67.5 ,896.6 ,2066.7 ,2203.9 
A;EE;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.7 ,7.1 ,3.2 ,1.5 ,37 ,48.8 ,66.6 
A;EL;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.3 
A;ES;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1.7 ,176.2 ,79.4 ,64.2 ,10.8 ,22.9 ,54.7 ,25.1 ,357.8 ,80.6 
A;EU28;MEUR_KP_PRE;OBJ03,0 ,0 ,0.3 ,0.4 ,0.1 ,0 ,0 ,1 ,4.9 ,651.5 ,680 ,5027.3 ,7414.4 ,8030.5 ,7695.5 ,10455 ,13093.5 ,13867 
A;FI;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.3 ,454.7 ,532 ,633.7 ,812.7 ,881.2 ,998.9 ,1040.4 
A;FR;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.3 ,27.3 ,19.9 ,22 ,56.7 ,25.8 ,23.1 ,1189.5 ,1366.3 ,1584.4 
A;HR;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.2 ,6 ,8.5 ,10.9 
A;HU;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,38.5 ,43.6 ,39.2 ,64.5 ,31.7 ,146.1 
A;IE;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.8 ,9.2 ,14.7 ,12.9 ,12.3 ,40.6 ,13.7 ,2.4 ,28.6 
A;IT;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.3 ,6 ,16 ,40.7 ,30 ,69.9 ,4.7 ,20.4 ,65.4 
A;LT;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,85 ,96.5 ,113.7 
A;LU;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.9 ,24.7 ,6.7 ,3.4 ,10 ,26 ,20.8 ,0.7 
A;LV;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.7 ,12.2 ,10.3 ,15.4 ,37.4 ,39.9 ,36.2 
A;MT;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.1 ,0.7 
A;NL;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.7 ,2.5 ,17.4 ,31.9 ,41.9 ,89.1 ,36.8 ,78.3 ,92 
A;PL;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.4 ,1.7 ,2.9 ,5.4 ,3.8 ,2.9 ,194.4 ,264.8 ,814.4 
A;PT;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.3 ,2.4 ,9.4 ,0 ,0.2 ,0 ,0 ,0.1 
A;RO;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.1 ,0 ,88.9 ,149.3 ,126.9 
A;SE;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.5 ,574.5 ,2180.6 ,2241.4 ,2014 ,1965.1 ,2168.3 ,1923.9 
A;SI;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.1 ,0.2 ,15.2 ,25.7 ,28 ,22.7 ,19.1 
A;SK;MEUR_KP_PRE;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.5 ,3.5 ,8.4 ,2.7 ,0.2 
A;UK;MEUR_KP_PRE;OBJ03,0 ,0 ,0.3 ,0.4 ,0.1 ,0 ,0 ,0 ,0 ,1.4 ,82.1 ,310.6 ,267.1 ,235.2 ,17.3 ,175.6 ,428.9 ,412.9 
A;AT;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;BE;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;BG;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;CY;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;CZ;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DE;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DK;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EE;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EL;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;ES;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EU28;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;FI;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;FR;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;HR;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;HU;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;IE;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;IT;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;LT;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;LU;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;LV;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;MT;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;NL;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;PL;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;PT;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;RO;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SE;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SI;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SK;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;UK;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;AT;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.4 ,2.6 ,2 ,0.1 ,0 
A;BE;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,0 ,8.8 ,12.8 ,21.9 ,24.3 ,87.7 ,103.8 ,102.1 ,110.6 ,120.8 ,137.5 ,134.8 ,130.4 ,118.9 
A;BG;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.5 ,0 ,7.8 ,9.5 ,1.7 ,0 ,0 ,0.7 
A;CY;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.1 ,1 ,0.1 ,0.1 ,0.3 ,0.5 ,0.2 ,0 ,0 ,0 ,0 
A;CZ;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,2.1 ,0 ,0 ,0 ,0 ,0.1 ,0 ,0.1 ,0 ,0 ,0 ,0.1 
A;DE;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,8.4 ,26 ,14.9 ,12.4 ,15.6 ,4.8 ,6.1 ,7.1 ,10.4 ,3.2 ,0.4 ,0.4 ,0.1 ,0 ,0 
A;DK;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,98.3 ,154.3 ,133.2 ,148.2 ,118.6 ,96.1 ,104 ,102.2 
A;EE;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,0 ,0.1 ,0.3 ,0.3 ,0.1 ,0.1 ,0.1 ,0 ,0.1 ,3.3 ,1.9 ,0 ,0.1 ,0.1 
A;EL;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,19.4 ,55.8 ,17.2 ,1.2 ,0 ,0 ,0 ,0 ,0 ,0 ,3.2 ,20.2 ,1.3 ,8.4 
A;ES;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,0.4 ,0.4 ,3.7 ,6.9 ,6.2 ,24.7 ,41.9 ,35.3 ,33 ,50.6 ,43.9 ,63.1 ,47.7 ,58.5 
A;EU28;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,15.5 ,170 ,421 ,595 ,745.3 ,1583.3 ,1195.4 ,1377.8 ,1327.7 ,1466.8 ,1635.6 ,1657 ,1612.8 ,1436.2 ,1733.2 
A;FI;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11.8 ,41.1 ,48.4 ,52.7 ,65.8 ,52.2 ,43.1 ,54 
A;FR;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,0 ,2.2 ,2.2 ,20.5 ,16.5 ,2.9 ,3.6 ,1.4 ,1.6 ,2.5 ,5.9 ,6.5 ,3.7 ,3.8 
A;HR;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3.6 ,3.9 ,3.9 ,4 
A;HU;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,7.5 ,3.8 ,42.6 ,115.4 ,609 ,202.8 ,178 ,168.4 ,167.3 ,130.5 ,36.5 ,113.1 ,117.8 ,130.1 
